"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","M=11","M=12","M=13","M=14","M=15"
"Food products","$1513.71^{***}$","$723.69^{***}$","$232.75^{***}$","$186.9^{***}$","$107.1^{***}$","$81.79^{***}$","$46.82^{***}$","$37.27^{***}$","$42.14^{***}$","$-61.33^{}$","0","0","0","0","0"
"2","11110.75","9603.19","8889.5","8665.54","8487.71","8385.77","8306.62","8268.56","8238.37","8227.84","0","0","0","0","0"
"3","11129.42","9645.2","8954.85","8754.24","8599.75","8521.15","8465.34","8450.62","8443.78","8456.59","0","0","0","0","0"
"Fabricated metal products","$428.02^{***}$","$160.73^{***}$","$67.35^{***}$","$50.29^{***}$","$37.32^{***}$","$40.4^{***}$","$19.35^{}$","$22.91^{*}$","$8.2^{}$","$22.12^{*}$","0","0","0","0","0"
"5","3191.24","2771.1","2619.1","2561.4","2517.56","2488.31","2456.14","2450.51","2451.51","2446.7","0","0","0","0","0"
"6","3204.91","2801.84","2666.92","2626.31","2599.55","2587.38","2572.29","2583.74","2601.82","2614.09","0","0","0","0","0"
"Textiles","$354.73^{***}$","$189.26^{***}$","$81.85^{***}$","$56.15^{***}$","$44.94^{***}$","$32.66^{***}$","$19.89^{***}$","$23.7^{*}$","$19.78^{}$","$-2.68^{}$","0","0","0","0","0"
"8","2748.96","2403.09","2222.57","2148.19","2100.24","2065.25","2038.72","2027.79","2008.42","2000.35","0","0","0","0","0"
"9","2762.05","2432.54","2268.39","2210.38","2178.8","2160.17","2150","2155.44","2152.44","2160.72","0","0","0","0","0"
