"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","M=11","M=12","M=13","M=14","M=15"
"Food products","$1247.62^{***}$","$647.9^{***}$","$368.41^{***}$","$201.46^{***}$","$124.06^{***}$","$63.95^{**}$","$-152.96^{}$","$-133.72^{}$","$-53.04^{}$","$-107.41^{}$","0","0","0","0","0"
"2","5179.49","3935.96","3297.05","2935.11","2740.79","2624.29","2586.39","2583.56","2538.19","2560.41","0","0","0","0","0"
"3","5197.35","3976.15","3359.57","3019.97","2847.98","2753.81","2738.24","2757.74","2734.7","2779.25","0","0","0","0","0"
"Fabricated metal products","$380.25^{***}$","$175.91^{***}$","$36.23^{***}$","$29.65^{***}$","$19.67^{}$","$11.76^{}$","$1.77^{}$","$13.19^{}$","$4.7^{}$","$-16.05^{}$","0","0","0","0","0"
"5","1729.12","1356.59","1189.73","1163.03","1138.79","1125.98","1122.97","1119.31","1122","1116.52","0","0","0","0","0"
"6","1742.41","1386.5","1236.25","1226.17","1218.55","1222.35","1235.95","1248.91","1268.21","1279.35","0","0","0","0","0"
"Textiles","$350.45^{***}$","$192.99^{***}$","$75.39^{***}$","$34.6^{**}$","$27.94^{**}$","$18.8^{}$","$16.8^{}$","$-6.88^{}$","$-28.73^{}$","$-56.63^{}$","0","0","0","0","0"
"8","1379.85","1037.75","852.28","784.31","759.76","740.62","734.99","731.47","728","718.41","0","0","0","0","0"
"9","1392.3","1065.76","895.85","843.44","834.45","830.87","840.8","852.84","864.93","870.9","0","0","0","0","0"
