"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","M=11","M=12","M=13","M=14","M=15"
"Food products","$1921.11^{***}$","$1219.13^{***}$","$513.39^{***}$","$364.11^{***}$","$233.93^{***}$","$82.82^{***}$","$118.38^{***}$","$-74.8^{}$","$-96.38^{}$","$-132.8^{}$","0","0","0","0","0"
"2","8496.67","6578.48","5366.1","4860.35","4500.38","4270.81","4274.17","4218.66","4228.69","4168.09","0","0","0","0","0"
"3","8509.95","6609.48","5414.81","4926.77","4584.52","4372.65","4393.73","4355.93","4383.68","4340.79","0","0","0","0","0"
"Fabricated metal products","$657.96^{***}$","$321.92^{***}$","$94.66^{***}$","$44.38^{***}$","$27.4^{***}$","$26.47^{***}$","$23.7^{**}$","$10.84^{}$","$15.35^{*}$","$7.19^{}$","0","0","0","0","0"
"5","2846.54","2195.09","1880.2","1793.16","1755.3","1735.96","1715.85","1698.86","1694.93","1700.48","0","0","0","0","0"
"6","2856.46","2218.25","1916.59","1842.78","1818.15","1812.05","1805.17","1801.42","1810.72","1829.51","0","0","0","0","0"
"Textiles","$542.94^{***}$","$368.64^{***}$","$132.55^{***}$","$64.23^{***}$","$37.54^{***}$","$26.11^{*}$","$24.91^{*}$","$17.04^{}$","$25.46^{*}$","$-684.27^{}$","0","0","0","0","0"
"8","2339.15","1801.5","1438.37","1312.86","1255.95","1228.02","1216.64","1198.03","1212.5","1201.04","0","0","0","0","0"
"9","2348.47","1823.25","1472.54","1359.45","1314.96","1299.46","1300.5","1294.31","1321.21","1322.17","0","0","0","0","0"
