"","M=1","M=2","M=3","M=4","M=5"
"Food products","$1187.26^{***}$","$464.92^{***}$","$195.78^{***}$","$134.67^{***}$","$100.46^{***}$"
"2","8128.46 8151.82","6947.7 6999.11","6490.32 6569.76","6304.37 6411.85","6178.49 6314.01"
"Fabricated metal products","$243.78^{***}$","$108.21^{***}$","$75.72^{***}$","$48.79^{***}$","$40.91^{**}$"
"4","2063.95 2081.03","1830.72 1868.3","1733.54 1791.61","1666.88 1745.45","1630.67 1729.74"
"Textiles","$211.63^{***}$","$176.14^{***}$","$94.24^{***}$","$71.66^{***}$","$44.32^{***}$"
"6","1786.33 1802.72","1584.84 1620.9","1420.31 1476.04","1337.99 1413.39","1275.41 1370.48"
