"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","M=11","M=12","M=13","M=14","M=15"
"Food products","$1166.15^{***}$","$728.98^{***}$","$341.58^{***}$","$212.71^{***}$","$121.52^{***}$","$111.14^{***}$","$39.57^{***}$","$20.17^{**}$","$60.05^{***}$","$9.57^{}$","0","0","0","0","0"
"2","5280.83","4111.93","3389.38","3050.7","2843.89","2769.21","2680.95","2646.01","2681.74","2632.51","0","0","0","0","0"
"3","5294.23","4143.19","3438.51","3117.69","2928.75","2871.93","2801.54","2784.46","2838.06","2806.69","0","0","0","0","0"
"Fabricated metal products","$364.14^{***}$","$184.47^{***}$","$38.86^{***}$","$34.96^{***}$","$19.08^{***}$","$6.11^{}$","$5.77^{}$","$6.1^{}$","$5.5^{}$","$6.14^{}$","0","0","0","0","0"
"5","1731.6","1372.8","1195.42","1163.02","1134.78","1122.41","1113.12","1114.54","1115.75","1119.54","0","0","0","0","0"
"6","1741.57","1396.06","1231.97","1212.87","1197.91","1198.83","1202.84","1217.55","1232.06","1249.14","0","0","0","0","0"
"Textiles","$312.18^{***}$","$238.04^{***}$","$79.88^{***}$","$34.62^{***}$","$15.83^{**}$","$16.58^{**}$","$17.2^{**}$","$12.54^{}$","$13.78^{*}$","$14.34^{*}$","0","0","0","0","0"
"8","1409.84","1102.33","871.28","798.49","770.9","762.25","755.55","750.14","753.13","758.21","0","0","0","0","0"
"9","1419.18","1124.11","905.51","845.17","830.02","833.83","839.58","846.61","862.05","879.57","0","0","0","0","0"
