"","M=1","M=2","M=3","M=4","M=5"
"Food products","$1513.71^{***}$","$723.69^{***}$","$232.75^{***}$","$186.9^{***}$","$107.1^{***}$"
"2","11110.75 11129.42","9603.19 9645.2","8889.5 8954.85","8665.54 8754.24","8487.71 8599.75"
"Fabricated metal products","$428.02^{***}$","$160.73^{***}$","$67.35^{***}$","$50.29^{***}$","$37.32^{***}$"
"4","3191.24 3204.91","2771.1 2801.84","2619.1 2666.92","2561.4 2626.31","2517.56 2599.55"
"Textiles","$354.73^{***}$","$189.26^{***}$","$81.85^{***}$","$56.15^{***}$","$44.94^{***}$"
"6","2748.96 2762.05","2403.09 2432.54","2222.57 2268.39","2148.19 2210.38","2100.24 2178.8"
