"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","M=11","M=12","M=13","M=14","M=15"
"Food products","$769.16^{***}$","$339.31^{***}$","$237.78^{***}$","$116.28^{***}$","$56.87^{***}$","$41.05^{***}$","$33.51^{**}$","$24.85^{**}$","$-151.37^{}$","$-15.86^{}$","0","0","0","0","0"
"2","3500.04","2730.36","2399.46","2166.61","2059.13","2009.96","2002.04","1984.62","1959.97","1971.2","0","0","0","0","0"
"3","3517.96","2770.68","2462.18","2251.73","2166.65","2139.88","2154.37","2159.34","2157.09","2190.73","0","0","0","0","0"
"Fabricated metal products","$198.34^{***}$","$88.16^{***}$","$18.81^{}$","$8.36^{}$","$11.11^{}$","$5.82^{}$","$-4.87^{}$","$1.89^{}$","$1.54^{}$","$-15.28^{}$","0","0","0","0","0"
"5","1161.49","970.87","891.7","879.87","872.68","873.09","874.41","874.72","881.69","887.44","0","0","0","0","0"
"6","1174.81","1000.82","938.29","943.1","952.55","969.6","987.56","1004.51","1028.12","1050.5","0","0","0","0","0"
"Textiles","$209.99^{***}$","$100.94^{***}$","$48.55^{***}$","$27.49^{**}$","$24.16^{**}$","$7.05^{}$","$-4.91^{}$","$1.64^{}$","$-13.76^{}$","$-69.83^{}$","0","0","0","0","0"
"8","938.89","736.61","644.7","603.44","585.58","578.89","577.46","578.18","573.07","582.28","0","0","0","0","0"
"9","951.41","764.78","688.52","662.91","660.7","669.66","683.88","700.25","710.78","735.64","0","0","0","0","0"
