"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","M=11","M=12","M=13","M=14","M=15"
"Food products","$816.06^{***}$","$489.37^{***}$","$169.14^{***}$","$80.88^{***}$","$80.63^{***}$","$52.67^{***}$","$31.29^{***}$","$17.16^{**}$","$20.55^{***}$","$-60.46^{}$","0","0","0","0","0"
"2","6745.36","5930","5447.85","5286.31","5212.44","5134.34","5083.98","5055.72","5047.07","5039.89","0","0","0","0","0"
"3","6759.39","5962.74","5499.3","5356.47","5301.31","5241.91","5210.27","5200.71","5210.77","5222.29","0","0","0","0","0"
"Fabricated metal products","$199.35^{***}$","$63.25^{***}$","$49.24^{***}$","$30.27^{***}$","$15.73^{**}$","$18.25^{**}$","$10.88^{}$","$9.48^{}$","$11.19^{}$","$10.66^{}$","0","0","0","0","0"
"5","1913.39","1720.81","1662.39","1619.69","1596.12","1580.97","1572.84","1563.12","1561.4","1562.31","0","0","0","0","0"
"6","1923.64","1744.72","1699.97","1670.93","1661.03","1659.54","1665.08","1669.02","1680.96","1695.54","0","0","0","0","0"
"Textiles","$201.86^{***}$","$95.17^{***}$","$61.43^{***}$","$31.17^{***}$","$14.12^{*}$","$17.45^{**}$","$7.94^{}$","$5.45^{}$","$6.16^{}$","$-14.71^{}$","0","0","0","0","0"
"8","1672.08","1477.05","1388.88","1331.76","1306.36","1289.54","1277.21","1269.1","1268.09","1264.4","0","0","0","0","0"
"9","1681.91","1499.99","1424.93","1380.93","1368.65","1364.94","1365.72","1370.72","1382.83","1392.24","0","0","0","0","0"
