"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10"
"Food products","$452.07^{***}$","$265.88^{***}$","$122.67^{***}$","$68.83^{***}$","$43.19^{***}$","$17.95^{***}$","$13.08^{}$","0","0","0"
"2","4506.84 4520.87","4055.08 4087.83","3795.26 3846.72","3679.31 3749.48","3617.05 3705.94","3567.94 3675.54","3555.07 3681.39","0","0","0"
"Fabricated metal products","$92.02^{***}$","$49.83^{***}$","$17.1^{***}$","$19.31^{***}$","$9.29^{}$","0","0","0","0","0"
"4","1278.85 1289.1","1193.64 1217.56","1150.74 1188.31","1137.02 1188.26","1123.08 1187.98","0","0","0","0","0"
"Textiles","$103.55^{***}$","$44.24^{***}$","$31.45^{***}$","$22.81^{***}$","$7.11^{}$","0","0","0","0","0"
"6","1116.52 1126.36","1018.76 1041.71","978.79 1014.85","954.15 1003.32","937.39 999.68","0","0","0","0","0"
