"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","M=11","M=12","M=13","M=14","M=15"
"chemical","$660.25^{***}$","$315.94^{***}$","$183.15^{***}$","$171.97^{***}$","$97.49^{***}$","$76.45^{***}$","$65.51^{***}$","$61.5^{***}$","$27.38^{***}$","$48.77^{***}$","0","0","0","0","0"
"2","1832.24","1178.01","869.42","693.5","527.05","436.95","366.75","321.65","271.39","232.84","0","0","0","0","0"
"3","1841.49","1199.58","903.32","739.72","585.6","507.82","449.95","417.17","379.24","353.02","0","0","0","0","0"
"electronics","$801.96^{***}$","$317.05^{***}$","$166.53^{***}$","$109.36^{***}$","$102.82^{***}$","$53.71^{***}$","$45.45^{***}$","$24.28^{***}$","$14.29^{**}$","$20.08$","0","0","0","0","0"
"5","1762.56","964.81","654.65","494.67","386.89","290.55","243.88","200.49","170.6","148","0","0","0","0","0"
"6","1771.69","986.11","688.12","540.32","444.72","360.55","326.05","294.83","277.12","266.7","0","0","0","0","0"
"machine","$619.23^{***}$","$296.23^{***}$","$146.6^{***}$","$100.27^{***}$","$73.05^{***}$","$68.84^{***}$","$52.52^{***}$","$51.83^{***}$","$37.66^{***}$","$27.18^{***}$","0","0","0","0","0"
"8","1793.95","1180.61","891.48","752.68","659.62","594.8","540.13","502.48","458.13","427.71","0","0","0","0","0"
"9","1803.13","1202.05","925.17","798.61","717.81","665.24","622.82","597.42","565.32","547.15","0","0","0","0","0"
