"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","M=11","M=12","M=13","M=14","M=15"
"chemical","$412.35^{***}$","$224.09^{***}$","$141.59^{***}$","$132.24^{**}$","$121.56^{**}$","$118.64^{**}$","$43.14^{**}$","$49.22^{**}$","$-38.11^{}$","$30.67^{**}$","$-39.78^{}$","$9.21^{}$","$-7.98^{}$","$-86.88^{}$","$-8.96^{}$"
"2","1281.72","877.71","662.58","528.75","416.12","390.38","284.29","270.12","246.7","221.71","192.71","198.63","184.17","170.07","145.38"
"3","1294.05","905.44","705.72","587.3","490.07","479.74","389.05","390.29","382.28","372.69","359.1","380.43","381.38","382.69","373.4"
"electronics","$573.11^{***}$","$218.38^{***}$","$116.07^{***}$","$94.76^{**}$","$47.73^{**}$","$42.27^{**}$","$33.67^{**}$","$37.32^{**}$","$17.26^{}$","$14.48^{}$","$24.58^{*}$","$-6.77^{}$","$-9.67^{}$","$11.47^{}$","$-19.2^{}$"
"5","1324.52","757.56","548.12","440.73","353.19","301.65","268.58","252.95","225.24","219.13","210.1","198.5","181.21","185.73","161.83"
"6","1336.69","784.95","590.73","498.55","426.23","389.91","372.05","371.64","359.15","368.25","374.44","378.06","375.99","395.73","387.04"
"machine","$468.06^{***}$","$204.01^{***}$","$93.35^{***}$","$81.62^{***}$","$62^{***}$","$37.04^{***}$","$14.21^{}$","$-23.69^{}$","$-32.44^{}$","$-12.09^{}$","$-57.16^{}$","$-24.58^{}$","$-35.86^{}$","$-21.33^{}$","$-167.22^{}$"
"8","1348.31","888.12","693.32","618.08","552.16","507.63","460.21","429.26","402.03","389.57","351.82","370.29","358.42","355.77","341.27"
"9","1360.56","915.69","736.2","676.26","625.66","596.45","564.34","548.7","536.78","539.64","517.2","550.98","554.43","567.09","567.9"
