"","M=1","M=2","M=3","M=4","M=5"
"chemical","$241.44^{***}$","$119.64^{***}$","$71.46^{***}$","$61.77^{***}$","$33.38^{***}$"
"2","544 550.16","307.44 322.84","192.46 217.11","125.74 159.63","68.91 112.05"
"electronics","$322.34^{***}$","$93.07^{***}$","$56.85^{***}$","$48.55^{***}$","$26.1^{***}$"
"4","547.41 553.5","229.14 244.36","140.55 164.9","88.5 121.98","44.81 87.41"
"machine","$241.48^{***}$","$107.93^{***}$","$42.63^{***}$","$35.5^{***}$","$35.57^{***}$"
"6","298.2 304.33","61.27 76.58","-41.81 -17.31","-80.78 -47.09","-110.63 -67.76"
