"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","M=11","M=12","M=13","M=14","M=15"
"chemical","$675.9^{***}$","$221.56^{**}$","$170.49^{**}$","$117.57^{**}$","$91.64^{**}$","$68.36^{**}$","$14.92^{}$","$12.56^{}$","$-78.55^{}$","$22.09^{*}$","0","0","0","0","0"
"2","1283.72","611.79","399.99","238.56","140.74","70.49","21.96","5.41","-55.82","-35.14","0","0","0","0","0"
"3","1296.19","639.85","443.64","297.8","215.57","160.92","127.97","127.01","81.37","117.64","0","0","0","0","0"
"electronics","$873.64^{***}$","$308.46^{***}$","$187.66^{***}$","$154.54^{***}$","$153.29^{***}$","$51.5^{***}$","$-839.06^{}$","$36.21^{}$","$-1062.8^{}$","$-1031.64^{}$","0","0","0","0","0"
"5","1482.08","612.82","314.15","135.49","82.96","-63.14","-81.21","-121.81","-151.3","-144.36","0","0","0","0","0"
"6","1494.74","641.3","358.46","195.62","158.92","28.64","26.39","1.62","-12.05","10.72","0","0","0","0","0"
"machine","$499.39^{***}$","$251.53^{***}$","$169.31^{***}$","$109.69^{***}$","$74.43^{**}$","$39.06^{**}$","$14.57^{}$","$11.67^{}$","$9.29^{}$","$-36.53^{}$","0","0","0","0","0"
"8","1440.73","948.29","706.38","546.53","445.35","379.5","345.74","317.6","304.93","298.32","0","0","0","0","0"
"9","1453.28","976.51","750.28","606.11","520.61","470.44","452.36","439.9","442.91","451.98","0","0","0","0","0"
