"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","M=11","M=12","M=13","M=14","M=15"
"chemical","$603^{***}$","$288.26^{***}$","$199.03^{***}$","$186.74^{***}$","$145.04^{***}$","$131.89^{***}$","$20.92^{}$","$70.4^{**}$","$47.6^{**}$","$-4.84^{}$","$-22.45^{}$","$60.59^{**}$","$45.66^{**}$","$35.97^{**}$","$-53.47^{}$"
"2","1705.77","1110.37","831.85","640.92","466.27","412.31","292.89","278.76","241.8","195.45","190.03","193.7","162.25","149.28","129.86"
"3","1718.1","1138.1","874.99","699.47","540.22","501.67","397.66","398.94","377.38","346.44","356.42","375.5","359.46","361.9","357.88"
"electronics","$814.89^{***}$","$322.19^{***}$","$168.1^{**}$","$114.82^{**}$","$106.28^{**}$","$72.41^{**}$","$47.24^{**}$","$28.48^{**}$","$49.81^{**}$","$16.71^{}$","$33.7^{**}$","$11.29^{}$","$-12.87^{}$","$-23.78^{}$","$-22.1^{}$"
"5","1763.32","954.58","640.82","481.5","369.47","270.26","206.96","178.36","152.87","111.85","97.8","85.84","78.93","71.97","48.24"
"6","1775.49","981.97","683.43","539.32","442.52","358.51","310.44","297.06","286.78","260.98","262.15","265.41","273.7","281.97","273.46"
"machine","$651.85^{***}$","$307.9^{***}$","$148.07^{***}$","$93.46^{***}$","$59.06^{***}$","$35.66^{***}$","$33.66^{***}$","$51.79^{***}$","$0.96^{}$","$-128.04^{}$","$-64.87^{}$","$-37.39^{}$","$-59.48^{}$","$-125.74^{}$","$-43.87^{}$"
"8","1795.93","1151.98","853.21","714.96","630.16","562.01","497.62","466.61","430.41","407.66","394.6","390.61","368.46","359.8","357.85"
"9","1808.18","1179.54","896.09","773.15","703.66","650.83","601.75","586.05","565.17","557.72","559.98","571.3","564.47","571.12","584.49"
