"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","M=11","M=12","M=13","M=14","M=15"
"chemical","$791.5^{***}$","$357.95^{***}$","$246.97^{***}$","$214.78^{***}$","$146.3^{***}$","$101.28^{**}$","$81.09^{**}$","$63.02^{**}$","$30.72^{**}$","$61.35^{**}$","$57.88^{**}$","$-0.95^{}$","$-20.5^{}$","$60.35^{**}$","$-73.65^{}$"
"2","2135.37","1352.31","1004.05","765.82","563.99","479.28","443.75","346.16","320.83","289.27","245.23","186.39","197.94","170.48","137.22"
"3","2147.69","1380.04","1047.19","824.37","637.94","568.64","548.52","466.33","456.41","440.26","411.63","368.19","395.15","383.1","365.25"
"electronics","$1037.49^{***}$","$422.08^{**}$","$214.22^{**}$","$161.73^{**}$","$135.18^{**}$","$75.07^{**}$","$53.54^{**}$","$55.2^{**}$","$27^{**}$","$44.75^{**}$","$-24.75^{}$","$-6.51^{}$","$21.77^{**}$","$12.04^{}$","$23.12^{**}$"
"5","2201.9","1170.9","757.9","552.64","398.46","264.49","196.17","148.53","102.2","91.04","49.39","35.2","13.87","2.72","-9.21"
"6","2214.07","1198.29","800.51","610.46","471.51","352.75","299.65","267.22","236.11","240.16","213.74","214.77","208.64","212.72","216"
"machine","$852.38^{***}$","$405.97^{***}$","$170.68^{***}$","$140.16^{***}$","$84.99^{***}$","$61.96^{***}$","$51.15^{***}$","$15.46^{*}$","$20.89^{**}$","$6.18^{}$","$-16.28^{}$","$-25.76^{}$","$-73.63^{}$","$16.74^{*}$","$-74.72^{}$"
"8","2243.29","1397.9","1001.47","840.17","702.27","616.43","542.14","488.4","447.35","441.8","409.9","384.29","358.09","358.79","358.29"
"9","2255.54","1425.47","1044.35","898.36","775.77","705.25","646.26","607.84","582.11","591.87","575.28","564.99","554.1","570.11","584.92"
