"","M=1","M=2","M=3","M=4","M=5","M=6"
"chemical","-397.6,-167.9","-166.89,-48.37","-48.38,13.83","14.82,74.28","75.5,115.85","119.63,131.09"
"2","801.2,810.45","347.73,369.3","118.33,152.22","-0.21,46.01","-113.99,-55.45","-195.26,-124.39"
"electronics","-401.16,-121.13","-119.16,-11.67","-11.8,46.32","46.71,87.25","87.55,102.14","110.99,124.95"
"4","808.32,817.45","252.2,273.5","45.28,78.75","-64.6,-18.95","-138.36,-80.54","-177.91,-107.91"
"machine","-222.43,-5.83","-4.76,96.72","97.01,136.59","137.42,174.34","175.95,162.36","201.51,0"
"6","450.85,460.04","23.49,44.92","-172.25,-138.56","-245.44,-199.5","-314.8,-256.61","-357.88,-287.44"
