"","M=1","M=2","M=3","M=4","M=5","M=1","M=2","M=3","M=4","M=5"
"chemical","$-202.36^{}$","0","0","0","0","270.132241051159","0","0","0","0"
"electronics","$-38.22^{}$","0","0","0","0","272.190654477112","0","0","0","0"
"machine","$217.04^{*}$","$384.66^{}$","0","0","0","158.007933565266","-53.2141984688353","0","0","0"
"transportation equipment","$433.5^{***}$","$268.25^{***}$","$135.76^{***}$","$93.98^{***}$","$-112.39^{}$","64.8804337556597","-363.395816886632","-624.016257225998","-767.202357466296","-894.42290503659"
"food","$-113.51^{}$","0","0","0","0","147.206860163363","0","0","0","0"
