"","M=1","M=2","M=3","M=4","M=5"
"chemical","$818.38^{***}$","$386.08^{***}$","$219.13^{***}$","$209.42^{***}$","$118.25^{***}$"
"2","1325.37125244435","512.07089198175","131.209512600076","-82.4205061157994","-286.871406745744"
"electronics","$1024.86^{***}$","$375.29^{***}$","$226.01^{***}$","$134.53^{***}$","$126.36^{***}$"
"4","1337.03135863561","317.391252685381","-52.6692258601348","-272.790890591977","-401.777644122713"
"machine","$819.98^{***}$","$389.69^{***}$","$156.44^{***}$","$149.98^{***}$","$96.32^{***}$"
"6","769.622049474431","-45.4860043446141","-431.093567039035","-582.502425465975","-726.832511566142"
