"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","M=11","M=12","M=13","M=14","M=15"
"chemical","$1308.07^{***}$","$346.08^{***}$","$252.21^{***}$","$195.41^{***}$","$144.74^{***}$","$108.62^{***}$","$99.92^{***}$","$129.74^{***}$","$78.15^{***}$","$33.96^{***}$","$83.62^{***}$","$62.75^{***}$","$6.27^{***}$","$-204.09^{}$","$-21.12^{}$"
"2","2334.14","1028.52","689.6","443.53","255.12","125.75","58.67","39.2","-56.98","-21.34","-97.47","-133.72","-93.65","-94.09","-153.04"
"3","2343.46","1050.26","723.76","490.12","314.14","197.19","142.53","135.48","51.72","99.79","36.09","12.26","64.75","76.74","30.21"
"electronics","$1235.07^{***}$","$541.74^{***}$","$338.41^{***}$","$309.91^{***}$","$118.64^{***}$","$91.54^{***}$","$59.08^{***}$","$24.24^{**}$","$-10.29^{}$","$-22.05^{}$","$-49.13^{}$","$-68.67^{}$","$-10.42^{}$","$-102.79^{}$","$-58.45^{}$"
"5","2404.33","1173.24","639.46","307.96","4.46","-106.62","-181.8","-232.23","-252.84","-286.83","-321.68","-350.73","-346.19","-385.89","-384.41"
"6","2413.78","1195.27","674.08","355.18","64.26","-34.23","-96.82","-134.65","-142.68","-164.07","-186.34","-202.8","-185.67","-212.77","-198.71"
"machine","$899.69^{***}$","$472.49^{***}$","$289.36^{***}$","$178.98^{***}$","$112.16^{***}$","$90.33^{***}$","$66.02^{***}$","$62.4^{***}$","$56.48^{***}$","$64.98^{***}$","$38.71^{***}$","$36.7^{***}$","$76.34^{***}$","$31.7^{***}$","$58.78^{***}$"
"8","2359.7","1465.74","1001","718.75","547.29","442.86","359.83","308.25","262.24","252.04","205.14","189.21","178.34","165.13","176.78"
"9","2369.06","1487.57","1035.3","765.52","606.53","514.58","444.02","404.91","371.37","373.64","339.22","335.76","337.36","336.62","360.74"
