"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","M=11","M=12","M=13","M=14","M=15"
"chemical","$758.81^{***}$","$199.03^{***}$","$151.23^{***}$","$116.41^{***}$","$96.58^{***}$","$77.82^{***}$","$89.65^{***}$","$101.03^{*}$","$69.56^{*}$","$58.27^{}$","$35.36^{}$","$37.1^{}$","$25.99^{}$","$24.79^{}$","$-118.49^{}$"
"2","1419.62","663.46","471.54","327.29","226.12","141.56","87.64","64.16","-1.05","-9.83","-62.97","-91.13","-17.61","-39.13","-0.49"
"3","1428.98","685.28","505.84","374.06","285.36","213.28","171.83","160.82","108.08","111.77","71.1","55.41","141.4","132.36","183.47"
"electronics","$873.51^{***}$","$295.27^{***}$","$181.8^{***}$","$155.61^{***}$","$153.81^{***}$","$51.35^{***}$","$39.06^{***}$","$16.95^{***}$","$-162.54^{}$","$7.81^{***}$","$-19.87^{}$","$-215.03^{}$","$-208.32^{}$","$-214.13^{}$","$11.64^{***}$"
"5","1480.43","609.34","321.96","146.9","99.55","-48.03","-75.11","-76.44","-92.54","-98.58","-114.09","-121.03","-106.32","-104.13","-121.44"
"6","1489.93","631.49","356.77","194.37","159.68","24.76","10.34","21.67","18.23","24.85","21.99","27.72","55.09","69.93","65.28"
"machine","$488.91^{***}$","$249.4^{***}$","$153.31^{***}$","$96.94^{***}$","$65.8^{***}$","$57.39^{***}$","$40.12^{**}$","$20.42^{**}$","$18.32^{*}$","$21.24^{**}$","$212.57^{***}$","$205.02^{***}$","$199.28^{***}$","$190.67^{***}$","$182.4^{***}$"
"8","1442.39","959.06","717.28","570.99","483.07","424.52","374.19","334.33","326.28","315.11","298.57","299.02","301.28","300.67","300.4"
"9","1451.8","981.01","751.77","618.03","542.65","496.64","458.86","431.54","436.04","437.41","433.41","446.4","461.21","473.14","485.42"
