"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","M=11","M=12","M=13","M=14","M=15"
"chemical","$980.1^{***}$","$333.62^{***}$","$191.23^{***}$","$162.99^{***}$","$129.69^{***}$","0","0","0","0","0","0","0","0","0","0"
"2","1898.7","923.57","595.19","409.41","251.31","0","0","0","0","0","0","0","0","0","0"
"3","1904.94","939.16","620.14","443.71","294.96","0","0","0","0","0","0","0","0","0","0"
"electronics","$1141.27^{***}$","$451.64^{***}$","$230.82^{***}$","$194.13^{***}$","$133.32^{***}$","0","0","0","0","0","0","0","0","0","0"
"5","1966.81","828.69","382.53","156.47","-32.28","0","0","0","0","0","0","0","0","0","0"
"6","1973.12","844.46","407.75","191.15","11.87","0","0","0","0","0","0","0","0","0","0"
"machine","$666.13^{***}$","$374.5^{***}$","$192.31^{***}$","$168.15^{***}$","$111.02^{***}$","0","0","0","0","0","0","0","0","0","0"
"8","1921.4","1260.31","891.57","704.9","541.43","0","0","0","0","0","0","0","0","0","0"
"9","1927.66","1275.96","916.61","739.33","585.25","0","0","0","0","0","0","0","0","0","0"
