"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","M=11","M=12","M=13","M=14","M=15"
"chemical","$1042.06^{***}$","$286.64^{***}$","$220.33^{***}$","$157.78^{***}$","$126.82^{***}$","$110.23^{***}$","$96.74^{**}$","$94.87^{**}$","$85.66^{**}$","$47.5^{*}$","0","0","0","0","0"
"2","1890.82","851.8","572.27","359.57","208.63","117.58","42.42","-15.46","-65.09","-94.54","0","0","0","0","0"
"3","1900.17","873.63","606.57","406.34","267.87","189.29","126.6","81.2","44.04","27.06","0","0","0","0","0"
"electronics","$1153.88^{***}$","$434.78^{***}$","$273.54^{***}$","$246.63^{***}$","$82.38^{***}$","$90.3^{**}$","$-100.91^{}$","$55.59^{**}$","$-24.48^{}$","$-165.34^{}$","0","0","0","0","0"
"5","1948.39","797.02","370.1","103.73","-136.86","-199.42","-236.95","-258.17","-309.72","-299.62","0","0","0","0","0"
"6","1957.85","819.1","404.79","151.03","-76.95","-126.89","-151.81","-160.41","-199.36","-176.64","0","0","0","0","0"
"machine","$692.71^{***}$","$356.48^{***}$","$245.84^{***}$","$133.5^{***}$","$102.97^{***}$","$77.33^{***}$","$46.54^{***}$","$-56.12^{}$","$-24.09^{}$","$-98.89^{}$","0","0","0","0","0"
"8","1910.23","1223.27","874.29","635.37","509.05","412.25","342.68","300.58","268.05","228.95","0","0","0","0","0"
"9","1919.62","1245.18","908.72","682.32","568.52","484.23","427.19","397.61","377.59","351.02","0","0","0","0","0"
