"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","M=11","M=12","M=13","M=14","M=15"
"chemical","$472^{***}$","$101.25^{***}$","$91.61^{***}$","$78.84^{***}$","$57.58^{***}$","$52.96^{***}$","$40.89^{***}$","$-3.12^{}$","$-36.19^{}$","$29.99^{}$","0","0","0","0","0"
"2","952.4","482.46","388.72","303.93","238.42","199.88","163.22","129.57","111.75","114.54","0","0","0","0","0"
"3","961.78","504.33","423.08","350.79","297.77","271.73","247.57","226.41","221.08","236.37","0","0","0","0","0"
"electronics","$548.93^{***}$","$144.04^{***}$","$91.48^{***}$","$76.92^{***}$","$28.38^{***}$","$18.16^{}$","$2.63^{}$","$10.28^{}$","$-1.61^{}$","$-19.16^{}$","0","0","0","0","0"
"5","998.97","452.4","315.74","231.18","159.86","136.65","116","106.76","99.29","85.1","0","0","0","0","0"
"6","1008.49","474.63","350.68","278.82","220.21","209.7","201.75","205.22","210.45","208.97","0","0","0","0","0"
"machine","$278.27^{***}$","$133.24^{***}$","$77.28^{***}$","$52.19^{***}$","$36.47^{***}$","$25.07^{***}$","$25.05^{***}$","$14.49^{*}$","$11.57^{}$","$-1.57^{}$","0","0","0","0","0"
"8","969.58","696.92","571.06","500.67","455.27","422.72","404.86","388.55","383.99","378.43","0","0","0","0","0"
"9","979.01","718.91","605.62","547.8","514.96","494.98","489.69","485.94","493.95","500.96","0","0","0","0","0"
