"","M=1","M=2","M=3","M=4","M=5"
"chemical","$660.25^{***}$","$316.47^{***}$","$182.03^{***}$","$171.97^{***}$","$96.75^{***}$"
"2","1066.93723068846","412.70448837535","104.121082966861","-71.8067425994035","-238.248849007462"
"electronics","$801.96^{***}$","$318.1^{***}$","$166.53^{***}$","$103.8^{***}$","$-145.64^{}$"
"4","1075.46482437609","277.710727833124","-32.4478437624172","-192.423248041452","-300.202770426208"
"machine","$619.23^{***}$","$296.23^{***}$","$143.63^{***}$","$93.23^{***}$","$-26.59^{}$"
"6","600.37889615999","-12.9549614050607","-302.089898796129","-440.891442751834","-533.944111361718"
