"","M=1","M=2","M=3","M=4","M=5","M=6"
"chemical","-269.96,-141.58","-140.43,-81.49","-81.36,-46.86","-45.87,-16.75","-15.23,-9.67","3.16,18.34"
"2","545.92,555.17","294.82,316.39","184.25,218.15","120.77,166.99","67.38,125.93","37.1,107.97"
"electronics","-271.16,-111.09","-109.27,-57.01","-56.39,-26.78","-26.73,-4.43","-2.12,10.65","12.26,2.12"
"4","548.31,557.44","232.44,253.74","134.49,167.97","82.46,128.11","40.98,98.81","15.26,85.26"
"machine","-145.49,-25.81","-24.73,33.44","33.78,55.46","56.43,74.21","76.35,80.28","94.14,0"
"6","296.97,306.16","63.43,84.87","-45.83,-12.14","-83.18,-37.24","-115.77,-57.58","-144.27,-73.83"
