,M=1,M=2,M=3,M=4,M=5
chemical,$459.4^{***}$,$236.36^{***}$,$125.42^{***}$,$118.36^{***}$,$87.63^{***}$
,1375.51,922.04,692.64,574.1,460.32
,1384.76,943.61,726.53,620.32,518.86
electronics,$560.06^{***}$,$213.82^{***}$,$116.29^{***}$,$78.81^{***}$,$47.05^{***}$
,1323.01,766.88,559.96,450.09,376.32
,1332.14,788.19,593.44,495.74,434.15
machine,$433.19^{***}$,$202.92^{***}$,$80.42^{***}$,$76.82^{***}$,$53.83^{***}$
,1346.42,919.05,723.31,650.12,580.29
,1355.6,940.49,757,696.06,638.48
