"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","M=11","M=12","M=13","M=14","M=15"
"chemical","$929.92^{***}$","$298.44^{**}$","$217.42^{**}$","$179.68^{**}$","$123.61^{**}$","$73.78^{**}$","$44.74^{**}$","$58.46^{**}$","$32.11^{**}$","$-33.34^{}$","0","0","0","0","0"
"2","1711.16","785.72","497","288.19","137.6","25.39","-1.54","-40.57","-89.09","-131.27","0","0","0","0","0"
"3","1723.63","813.78","540.66","347.44","212.43","115.82","104.47","81.03","48.1","21.51","0","0","0","0","0"
"electronics","$1154^{***}$","$452.34^{***}$","$272.24^{***}$","$250.03^{***}$","$100.2^{***}$","$63.15^{**}$","$67.7^{**}$","$-25.24^{}$","$-14.71^{}$","$-44.91^{}$","0","0","0","0","0"
"5","1949.85","800.54","357.35","94.18","-142.09","-227.2","-241.42","-289.75","-348.5","-312.32","0","0","0","0","0"
"6","1962.46","828.92","401.49","154.09","-66.41","-135.76","-134.21","-166.77","-209.76","-157.81","0","0","0","0","0"
"machine","$701.98^{***}$","$357.63^{***}$","$261.74^{***}$","$138.31^{***}$","$118.4^{***}$","$92.91^{**}$","$54.9^{*}$","$16.27^{}$","$23.92^{}$","$-89.43^{}$","0","0","0","0","0"
"8","1906.39","1212.17","864.02","611.19","481.58","370.33","332.24","276.41","252.44","251.23","0","0","0","0","0"
"9","1918.91","1240.34","907.83","670.66","556.7","461.1","438.66","398.48","390.15","404.59","0","0","0","0","0"
