"","M=1","M=2","M=3","M=4","M=5"
"chemical","$854.16^{***}$","$413.39^{***}$","$227.28^{***}$","$211.37^{***}$","$64.6^{***}$"
"2","1326.66120525579","478.599928453476","72.6612851465219","-153.18113463369","-358.5235441917"
"electronics","$1026.54^{***}$","$407.79^{***}$","$224.54^{***}$","$117.51^{***}$","$47.81^{*}$"
"4","1336.95327238556","314.887787297333","-85.0488377389516","-307.673987397221","-445.964687358625"
"machine","$825.08^{***}$","$384.66^{***}$","$162.8^{***}$","$131.57^{***}$","$100.62^{***}$"
"6","766.039667826328","-53.2141980007938","-430.499937930405","-593.200330176386","-724.778581641393"
