"","M=1","M=2","M=3","M=4","M=5"
"chemical","$256.76^{***}$","$117.41^{***}$","$69.05^{***}$","$58.29^{***}$","$35.55^{***}$"
"2","918.72 927.97","667.62 689.19","557.05 590.95","493.56 539.78","440.18 498.73"
"electronics","$320.13^{***}$","$105.8^{***}$","$58.93^{***}$","$45.36^{***}$","$27.13^{***}$"
"4","883.64 892.77","567.77 589.07","469.82 503.29","417.79 463.44","376.31 434.13"
"machine","$239.35^{***}$","$116.32^{***}$","$43.09^{***}$","$37.66^{***}$","$34.75^{***}$"
"6","898.54 907.73","665 686.44","555.73 589.42","518.39 564.33","485.79 543.98"
