"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","M=11","M=12","M=13","M=14","M=15"
"chemical","$472^{***}$","$101.25^{***}$","$91.61^{***}$","$78.84^{***}$","$51.33^{***}$","$52.96^{***}$","$40.89^{***}$","$53.26^{***}$","$45.33^{*}$","$23.84^{*}$","$31.26^{*}$","$12.56^{}$","$-12.37^{}$","$-13.7^{}$","$-46.17^{}$"
"2","952.4","482.46","388.72","303.93","231.92","199.88","163.22","154.69","115.33","109.13","99.82","84.08","89.63","96.3","71.83"
"3","961.78","504.33","423.08","350.79","291.27","271.73","247.57","251.53","224.66","230.97","234.15","230.9","248.95","268.12","256.15"
"electronics","$548.93^{***}$","$144.04^{***}$","$91.48^{***}$","$76.92^{***}$","$28.4^{***}$","$18.16^{***}$","$62^{***}$","$6.73^{***}$","$31.39^{***}$","$-35.72^{}$","$-4.38^{}$","$-33.89^{}$","$-20.22^{}$","$-18.4^{}$","$-36.53^{}$"
"5","998.97","452.4","315.74","231.18","159.86","136.65","116","104.91","101.39","102.83","81.62","87.43","81.78","91.6","81.47"
"6","1008.49","474.63","350.68","278.82","220.21","209.7","201.75","203.37","212.56","226.7","218.2","236.71","243.76","266.29","268.87"
"machine","$278.27^{***}$","$133.24^{***}$","$77.28^{***}$","$52.19^{***}$","$36.47^{***}$","$25.07^{***}$","$25.05^{***}$","$15.45^{*}$","$11.57^{}$","$300.43^{***}$","$284.48^{***}$","$281.96^{***}$","$278.34^{***}$","$271.31^{***}$","$268.98^{***}$"
"8","969.58","696.92","571.06","500.67","455.27","422.72","404.86","388.55","383.99","378.43","370.48","375.96","380.34","381.31","386.98"
"9","979.01","718.91","605.62","547.8","514.96","494.98","489.69","485.94","493.95","500.96","505.58","523.62","540.56","554.1","572.33"
