"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","M=11","M=12","M=13","M=14","M=15"
"chemical","$854.16^{***}$","$413.39^{***}$","$232.96^{***}$","$211.37^{***}$","$86.8^{***}$","$91.75^{***}$","$75.77^{***}$","$70.32^{***}$","$52.78^{***}$","$60.11^{***}$","0","0","0","0","0"
"2","2288.78","1440.72","1034.78","808.94","603.6","525.37","440.93","378.18","304.78","271.37","0","0","0","0","0"
"3","2298.02","1462.29","1068.68","855.16","662.14","596.24","524.13","473.7","412.62","391.54","0","0","0","0","0"
"electronics","$1026.54^{***}$","$406.62^{***}$","$230.57^{***}$","$144.93^{***}$","$130.47^{***}$","$73.58^{***}$","$40.53^{***}$","$55.08^{***}$","$48.41^{***}$","$45.71^{***}$","0","0","0","0","0"
"5","2202.28","1180.21","780.27","557.65","419.36","290.64","224.05","185.87","145.49","106.59","0","0","0","0","0"
"6","2211.41","1201.51","813.75","603.3","477.18","360.64","306.22","280.22","252.01","225.28","0","0","0","0","0"
"machine","$825.08^{***}$","$384.45^{***}$","$169.94^{***}$","$131.6^{***}$","$103.38^{***}$","$92.18^{***}$","$-24.54^{}$","$61.49$","$45.29$","$52.69$","0","0","0","0","0"
"8","2241.34","1422.09","1044.8","882.1","750.52","658.91","580.13","531.2","497.49","473.15","0","0","0","0","0"
"9","2250.53","1443.52","1078.49","928.04","808.71","729.35","662.82","626.14","604.68","592.6","0","0","0","0","0"
