"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","M=11","M=12","M=13","M=14","M=15"
"chemical","$758.81^{***}$","$199.03^{***}$","$151.23^{***}$","$116.41^{***}$","$96.58^{***}$","$77.82^{***}$","$89.65^{***}$","$64.34^{}$","$92.79^{}$","$62.65^{}$","0","0","0","0","0"
"2","1419.62","663.46","471.54","327.29","226.12","141.56","87.64","47.34","19.61","-18.41","0","0","0","0","0"
"3","1428.98","685.28","505.84","374.06","285.36","213.28","171.83","144","128.74","103.19","0","0","0","0","0"
"electronics","$873.51^{***}$","$295.27^{***}$","$181.8^{***}$","$155.61^{***}$","$150.57^{***}$","$50.78^{***}$","$32.44^{}$","$1.87^{}$","$-0.83^{}$","$5.04^{}$","0","0","0","0","0"
"5","1480.43","609.34","321.96","146.9","97.26","-48.06","-65.26","-93.27","-91.71","-108.16","0","0","0","0","0"
"6","1489.93","631.49","356.77","194.37","157.39","24.73","20.19","4.84","19.05","15.26","0","0","0","0","0"
"machine","$488.91^{***}$","$249.4^{***}$","$153.31^{***}$","$96.94^{***}$","$65.8^{***}$","$57.39^{***}$","$40.12^{**}$","$20.42^{*}$","$-23.83^{}$","$-16.43^{}$","0","0","0","0","0"
"8","1442.39","959.06","717.28","570.99","483.07","424.52","374.19","334.33","320.02","313.46","0","0","0","0","0"
"9","1451.8","981.01","751.77","618.03","542.65","496.64","458.86","431.54","429.78","435.75","0","0","0","0","0"
