"","M=1","M=2","M=3","M=4","M=5"
"1","$459.4^{**}$","$237^{*}$","$125.94^{*}$","$118.36^{}$","0"
"2","801.201836343008","347.733973809058","118.328865318359","-0.206314310343011","0"
"3","$560.06^{***}$","$214.86^{}$","0","0","0"
"4","808.322986201042","252.198770745246","0","0","0"
"5","$433.19^{***}$","$202.92^{}$","0","0","0"
"6","450.852928236825","23.4859494313769","0","0","0"
"7","$365.39^{***}$","$147.87^{}$","0","0","0"
"8","178.22876182265","-182.05786895638","0","0","0"
"9","$239.3^{**}$","$140.19^{***}$","$116.74^{}$","0","0"
"10","441.137847414945","208.264371096076","69.9143356042035","0","0"
