"","M=1","M=2","M=3","M=4","M=5"
"chemical","$226.98^{***}$","$118.3^{***}$","$81.67^{***}$","$68.74^{***}$","$46.23^{***}$"
"2","854.74 867.07","635.98 663.71","526.23 569.37","452.21 510.76","389.08 463.03"
"electronics","$328.38^{***}$","$109.62^{***}$","$59.91^{***}$","$55.49^{***}$","$35.15^{**}$"
"4","885.37 897.54","563.08 590.47","462.22 504.83","412 469.82","364.45 437.49"
"machine","$262.79^{***}$","$115.88^{***}$","$53.07^{***}$","$41.11^{***}$","$38.12^{***}$"
"6","900.32 912.57","645.4 672.96","538.54 581.42","498.25 556.43","467.41 540.91"
