"","M=1","M=2","M=3","M=4","M=5"
"1","$660.25^{**}$","$316.47^{}$","0","0","0"
"2","1066.93723068846","412.704488344878","0","0","0"
"3","$801.96^{**}$","$318.1^{}$","0","0","0"
"4","1075.46482437609","277.710728685458","0","0","0"
"5","$619.23^{**}$","$296.23^{}$","0","0","0"
"6","600.37889615999","-12.9549611779028","0","0","0"
"7","$528.23^{***}$","$202.48^{}$","0","0","0"
"8","234.243931114223","-288.874504600841","0","0","0"
"9","$352.7^{**}$","$199.4^{***}$","$156.57^{***}$","$13.25^{**}$","$-200.96^{}$"
"10","577.789999498594","231.55540092504","29.719477235008","-120.745173767401","-173.304317532245"
