"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10"
"chemical","$469.04^{***}$","$225.35^{***}$","$126.88^{***}$","$123.56^{***}$","$82.89^{***}$","$40.66^{***}$","$41.19^{***}$","$21.43^{***}$","$23.87^{***}$","$19.44^{***}$"
"2","1375.46","912.55","694.82","574.8","455.65","379.27","343.1","309.57","294.74","275.97"
"3","1384.7","934.12","728.71","621.02","514.2","450.14","426.29","405.1","402.58","396.15"
"electronics","$561.49^{***}$","$220.89^{***}$","$113.06^{***}$","$77.21^{**}$","$55.87^{***}$","$48.76^{***}$","$28.66^{***}$","$29.07^{***}$","$28.33^{***}$","$17.16^{**}$"
"5","1324.59","767.02","552.85","446.24","374.44","330.13","291.5","278.53","257.23","241.52"
"6","1333.72","788.32","586.33","491.89","432.27","400.13","373.67","372.88","363.75","360.21"
"machine","$439.54^{***}$","$190.73^{***}$","$92.08^{**}$","$62.04^{***}$","$54.1^{***}$","$40.77^{***}$","$41.18^{***}$","$42.75^{***}$","$8.93^{}$","$26.81^{***}$"
"8","1347.32","913.69","730.23","645.23","586.58","540.54","505.02","476.63","451.01","430.16"
"9","1356.51","935.13","763.92","691.17","644.77","610.98","587.71","571.57","558.2","549.6"
