,M=1,M=2,M=3,M=4,M=5,M=6,M=7,M=8,M=9,M=10
Food products,$1036.79^{***}$,$411.16^{***}$,$-788.88^{}$,$-1391.99^{}$,$-1998.11^{}$,$-3856.78^{}$,$-3435.78^{}$,$-4390.11^{}$,$-129538.93^{}$,$-3482.5^{}$
2,6578.15,5552.13,5159.63,5033.43,4958.42,4898.39,4877.88,4854.52,4826.64,4823.11
3,6662.34,5687.76,5346.72,5271.96,5248.4,5239.82,5270.76,5298.84,5322.41,5370.33
Fabricated metal products,$212.09^{***}$,$87.22^{***}$,$52.85^{***}$,$-29.34^{}$,$-1233.28^{}$,$-517.59^{}$,$-656.48^{}$,$-451.71^{}$,$-737.19^{}$,$-778.91^{}$
5,1854.69,1663.5,1598.27,1558.26,1530.74,1519.9,1530.73,1516.74,1533.55,1503.05
6,1905.93,1752.32,1724.66,1722.24,1732.29,1759.03,1807.43,1831.02,1885.41,1892.49
Textiles,$218.63^{***}$,$135.97^{***}$,$20.97^{}$,$-158.4^{}$,$-391.22^{}$,$-749.93^{}$,$-364.21^{}$,$-2112.36^{}$,$-1139.41^{}$,$-2125.12^{}$
8,1655.52,1458.31,1341.5,1279.51,1250.99,1241.47,1234.95,1211.05,1214.65,1207.47
9,1704.69,1543.54,1462.79,1436.86,1444.4,1470.94,1500.48,1512.64,1552.29,1581.17
