"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10"
"Food products","$991.5^{***}$","$403.82^{***}$","$133.05^{***}$","$115.77^{***}$","$62.86^{**}$","$43.87^{**}$","$26.92^{}$","$33.8^{*}$","$39.56^{**}$","$20.23^{}$"
"2","6559.12","5567.25","5175.36","5053.8","4965.57","4913.82","4883.51","4868.79","4877.02","4864.49"
"3","6619.92","5656.11","5292.29","5198.79","5138.62","5114.93","5112.69","5126.03","5162.32","5177.85"
"Fabricated metal products","$179.95^{***}$","$70.02^{***}$","$39.78^{***}$","$32.92^{***}$","$24.34^{**}$","$-27.23^{}$","$-19.52^{}$","$-36.61^{}$","$-5.56^{}$","$-17.08^{}$"
"5","1877.85","1708.7","1647.88","1618.1","1590.06","1577.12","1560.15","1557.39","1556.04","1551.29"
"6","1912.02","1763.35","1723.03","1713.75","1706.21","1713.76","1717.29","1735.03","1754.17","1769.92"
"Textiles","$200.06^{***}$","$100.36^{***}$","$64.14^{***}$","$38.49^{***}$","$26.11^{**}$","$-12.49^{}$","$10.81^{}$","$-29.07^{}$","$-126.54^{}$","$-203.82^{}$"
"8","1673.02","1482.62","1393.81","1336.61","1308.16","1288.56","1278.56","1267.43","1267.17","1262.33"
"9","1705.8","1535.07","1465.93","1428.4","1419.61","1419.68","1429.35","1437.9","1457.3","1472.13"
